epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.125000,0.100000
0,1000,1.180983,0.779100,0.100000
0,2000,0.584875,0.825500,0.100000
0,3000,0.408300,0.889300,0.100000
0,4000,0.351086,0.890800,0.100000
0,5000,0.375857,0.903100,0.100000
0,6000,0.304523,0.905400,0.100000
0,7000,0.276578,0.867000,0.100000
0,8000,0.333522,0.923300,0.100000
0,9000,0.365058,0.920500,0.100000
0,10000,0.225664,0.918600,0.100000
0,11000,0.218383,0.922100,0.100000
0,12000,0.243700,0.875400,0.100000
0,13000,0.259057,0.916200,0.100000
0,14000,0.251754,0.943000,0.100000
0,15000,0.266811,0.938200,0.100000
0,16000,0.233142,0.939900,0.100000
0,17000,0.208528,0.939400,0.100000
0,18000,0.245413,0.944600,0.100000
0,19000,0.148671,0.935700,0.100000
0,20000,0.194849,0.935400,0.100000
0,21000,0.230840,0.929200,0.100000
0,22000,0.160007,0.945100,0.100000
0,23000,0.235975,0.942700,0.100000
0,24000,0.185979,0.946900,0.100000
0,25000,0.193237,0.932800,0.100000
0,26000,0.161363,0.907200,0.100000
0,27000,0.228658,0.952100,0.100000
0,28000,0.141425,0.954700,0.100000
0,29000,0.167108,0.946900,0.100000
0,30000,0.184739,0.946800,0.100000
0,31000,0.176153,0.944500,0.100000
0,32000,0.232527,0.947200,0.100000
0,33000,0.202851,0.949100,0.100000
0,34000,0.137281,0.954400,0.100000
0,35000,0.188042,0.948300,0.100000
0,36000,0.133696,0.958800,0.100000
0,37000,0.152466,0.947500,0.100000
0,38000,0.190797,0.956400,0.100000
0,39000,0.115228,0.957500,0.100000
0,40000,0.177842,0.955100,0.100000
0,41000,0.147101,0.945000,0.100000
0,42000,0.170214,0.960300,0.100000
0,43000,0.193244,0.957600,0.100000
0,44000,0.126068,0.949800,0.100000
0,45000,0.127172,0.945800,0.100000
0,46000,0.163360,0.949600,0.100000
0,47000,0.154396,0.954900,0.100000
0,48000,0.176124,0.956600,0.100000
0,49000,0.150333,0.916600,0.100000
0,50000,0.205291,0.948000,0.100000
0,51000,0.181865,0.963600,0.100000
0,52000,0.122998,0.955300,0.100000
0,53000,0.188701,0.960400,0.100000
0,54000,0.121058,0.960800,0.100000
0,55000,0.120420,0.950900,0.100000
0,56000,0.128009,0.956800,0.100000
0,57000,0.103380,0.955600,0.100000
0,58000,0.123262,0.946300,0.100000
0,59000,0.064308,0.957100,0.100000
0,60000,0.089444,0.957300,0.100000
1,61000,0.130387,0.966100,0.100000
1,62000,0.140363,0.967700,0.100000
1,63000,0.084070,0.969000,0.100000
1,64000,0.075042,0.970400,0.100000
1,65000,0.066953,0.969100,0.100000
1,66000,0.086489,0.968700,0.100000
1,67000,0.080407,0.970900,0.100000
1,68000,0.095666,0.968200,0.100000
1,69000,0.114623,0.966100,0.100000
1,70000,0.058269,0.967400,0.100000
1,71000,0.073969,0.964200,0.100000
1,72000,0.073618,0.964200,0.100000
1,73000,0.089428,0.968500,0.100000
1,74000,0.082327,0.974100,0.100000
1,75000,0.083956,0.971200,0.100000
1,76000,0.083499,0.968700,0.100000
1,77000,0.074865,0.969500,0.100000
1,78000,0.093817,0.970900,0.100000
1,79000,0.059898,0.972800,0.100000
1,80000,0.074083,0.973000,0.100000
1,81000,0.097139,0.971800,0.100000
1,82000,0.050620,0.971500,0.100000
1,83000,0.080671,0.972500,0.100000
1,84000,0.075357,0.974000,0.100000
1,85000,0.055901,0.971800,0.100000
1,86000,0.058174,0.972500,0.100000
1,87000,0.120364,0.970900,0.100000
1,88000,0.074670,0.974400,0.100000
1,89000,0.066150,0.972200,0.100000
1,90000,0.056835,0.974500,0.100000
1,91000,0.056094,0.972100,0.100000
1,92000,0.094125,0.972400,0.100000
1,93000,0.064458,0.971800,0.100000
1,94000,0.049513,0.972200,0.100000
1,95000,0.095439,0.972200,0.100000
1,96000,0.069715,0.977400,0.100000
1,97000,0.058794,0.973700,0.100000
1,98000,0.098123,0.974400,0.100000
1,99000,0.047135,0.975900,0.100000
1,100000,0.073861,0.975600,0.100000
1,101000,0.056251,0.974200,0.100000
1,102000,0.077700,0.975100,0.100000
1,103000,0.084358,0.974500,0.100000
1,104000,0.051943,0.970600,0.100000
1,105000,0.054035,0.974600,0.100000
1,106000,0.069894,0.971700,0.100000
1,107000,0.058183,0.974100,0.100000
1,108000,0.082800,0.975800,0.100000
1,109000,0.048135,0.974600,0.100000
1,110000,0.085877,0.972900,0.100000
1,111000,0.066791,0.976100,0.100000
1,112000,0.056530,0.975700,0.100000
1,113000,0.075407,0.968100,0.100000
1,114000,0.056896,0.973200,0.100000
1,115000,0.045067,0.971600,0.100000
1,116000,0.046520,0.975900,0.100000
1,117000,0.052252,0.972900,0.100000
1,118000,0.039506,0.975000,0.100000
1,119000,0.022508,0.966900,0.100000
1,120000,0.061910,0.974500,0.100000
