epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.126900,0.001000
0,1000,2.019318,0.577200,0.001000
0,2000,1.386563,0.759800,0.001000
0,3000,0.849641,0.819100,0.001000
0,4000,0.654661,0.863400,0.001000
0,5000,0.503224,0.873000,0.001000
0,6000,0.448109,0.882100,0.001000
0,7000,0.375641,0.893300,0.001000
0,8000,0.439737,0.888200,0.001000
0,9000,0.457759,0.855700,0.001000
0,10000,0.347268,0.901200,0.001000
0,11000,0.280791,0.907600,0.001000
0,12000,0.321446,0.905700,0.001000
0,13000,0.362749,0.910000,0.001000
0,14000,0.348536,0.918900,0.001000
0,15000,0.395231,0.914700,0.001000
0,16000,0.311698,0.923500,0.001000
0,17000,0.296471,0.924500,0.001000
0,18000,0.312644,0.921300,0.001000
0,19000,0.231768,0.924700,0.001000
0,20000,0.238203,0.922400,0.001000
0,21000,0.314806,0.919200,0.001000
0,22000,0.239492,0.930100,0.001000
0,23000,0.275283,0.923900,0.001000
0,24000,0.266197,0.926300,0.001000
0,25000,0.269001,0.933300,0.001000
0,26000,0.206797,0.932100,0.001000
0,27000,0.283670,0.934600,0.001000
0,28000,0.226339,0.931800,0.001000
0,29000,0.228088,0.933500,0.001000
0,30000,0.262249,0.926000,0.001000
0,31000,0.232822,0.929200,0.001000
0,32000,0.302276,0.933600,0.001000
0,33000,0.250348,0.935300,0.001000
0,34000,0.173234,0.938600,0.001000
0,35000,0.220507,0.936700,0.001000
0,36000,0.193059,0.939000,0.001000
0,37000,0.187599,0.933100,0.001000
0,38000,0.301741,0.940600,0.001000
0,39000,0.183411,0.941800,0.001000
0,40000,0.233312,0.941400,0.001000
0,41000,0.178846,0.942500,0.001000
0,42000,0.225541,0.941200,0.001000
0,43000,0.251379,0.945300,0.001000
0,44000,0.176774,0.944900,0.001000
0,45000,0.188690,0.939600,0.001000
0,46000,0.234381,0.946200,0.001000
0,47000,0.210192,0.936400,0.001000
0,48000,0.209303,0.944100,0.001000
0,49000,0.170656,0.940100,0.001000
0,50000,0.257960,0.943600,0.001000
0,51000,0.224845,0.948100,0.001000
0,52000,0.154730,0.947400,0.001000
0,53000,0.229452,0.945800,0.001000
0,54000,0.190482,0.947600,0.001000
0,55000,0.167276,0.949400,0.001000
0,56000,0.156769,0.944500,0.001000
0,57000,0.142334,0.946300,0.001000
0,58000,0.133704,0.948400,0.001000
0,59000,0.087920,0.947200,0.001000
0,60000,0.146800,0.941900,0.001000
1,61000,0.182884,0.951900,0.001000
1,62000,0.187145,0.952500,0.001000
1,63000,0.121599,0.949600,0.001000
1,64000,0.121867,0.953600,0.001000
1,65000,0.136191,0.954800,0.001000
1,66000,0.150987,0.952700,0.001000
1,67000,0.133827,0.947900,0.001000
1,68000,0.168245,0.951100,0.001000
1,69000,0.213375,0.933200,0.001000
1,70000,0.146846,0.948200,0.001000
1,71000,0.161504,0.952600,0.001000
1,72000,0.137534,0.950700,0.001000
1,73000,0.165537,0.952100,0.001000
1,74000,0.155596,0.958600,0.001000
1,75000,0.172819,0.953900,0.001000
1,76000,0.156187,0.958900,0.001000
1,77000,0.132961,0.960900,0.001000
1,78000,0.145142,0.958700,0.001000
1,79000,0.106702,0.960800,0.001000
1,80000,0.126339,0.955100,0.001000
1,81000,0.170368,0.954100,0.001000
1,82000,0.127423,0.957300,0.001000
1,83000,0.152317,0.955000,0.001000
1,84000,0.145453,0.958600,0.001000
1,85000,0.127348,0.959200,0.001000
1,86000,0.115890,0.955300,0.001000
1,87000,0.167650,0.957200,0.001000
1,88000,0.121578,0.957400,0.001000
1,89000,0.129528,0.959000,0.001000
1,90000,0.123102,0.956200,0.001000
1,91000,0.111852,0.960400,0.001000
1,92000,0.169941,0.958300,0.001000
1,93000,0.147927,0.955400,0.001000
1,94000,0.107396,0.958600,0.001000
1,95000,0.139936,0.957700,0.001000
1,96000,0.115926,0.961800,0.001000
1,97000,0.116389,0.956800,0.001000
1,98000,0.185572,0.959400,0.001000
1,99000,0.098209,0.960500,0.001000
1,100000,0.140016,0.961200,0.001000
1,101000,0.100562,0.960700,0.001000
1,102000,0.151930,0.959000,0.001000
1,103000,0.153885,0.962300,0.001000
1,104000,0.098635,0.962100,0.001000
1,105000,0.115448,0.958400,0.001000
1,106000,0.143620,0.962500,0.001000
1,107000,0.132095,0.953300,0.001000
1,108000,0.144151,0.960900,0.001000
1,109000,0.111670,0.957300,0.001000
1,110000,0.179270,0.961300,0.001000
1,111000,0.136477,0.959900,0.001000
1,112000,0.101665,0.962600,0.001000
1,113000,0.139600,0.962100,0.001000
1,114000,0.128332,0.963500,0.001000
1,115000,0.094590,0.964700,0.001000
1,116000,0.106731,0.962600,0.001000
1,117000,0.089144,0.962500,0.001000
1,118000,0.083009,0.963000,0.001000
1,119000,0.054250,0.959400,0.001000
1,120000,0.099725,0.961100,0.001000
