epoch,iteration,loss,accuracy,learning_rate
0,0,0.000000,0.107300,0.010000
0,1000,1.288579,0.727400,0.010000
0,2000,0.590944,0.810000,0.010000
0,3000,0.434663,0.842400,0.010000
0,4000,0.366720,0.895600,0.010000
0,5000,0.335413,0.888300,0.010000
0,6000,0.313592,0.903100,0.010000
0,7000,0.309506,0.909700,0.010000
0,8000,0.346436,0.860300,0.010000
0,9000,0.393246,0.893800,0.010000
0,10000,0.242134,0.916500,0.010000
0,11000,0.213340,0.928300,0.010000
0,12000,0.231406,0.922300,0.010000
0,13000,0.289038,0.923100,0.010000
0,14000,0.256824,0.929000,0.010000
0,15000,0.255206,0.912700,0.010000
0,16000,0.273271,0.923400,0.010000
0,17000,0.211973,0.943600,0.010000
0,18000,0.232718,0.931700,0.010000
0,19000,0.170723,0.930400,0.010000
0,20000,0.234157,0.935600,0.010000
0,21000,0.263062,0.944600,0.010000
0,22000,0.163275,0.942000,0.010000
0,23000,0.220537,0.948900,0.010000
0,24000,0.185144,0.941000,0.010000
0,25000,0.214346,0.943800,0.010000
0,26000,0.157284,0.937600,0.010000
0,27000,0.259656,0.934700,0.010000
0,28000,0.157480,0.948100,0.010000
0,29000,0.174977,0.948600,0.010000
0,30000,0.223155,0.940200,0.010000
0,31000,0.175753,0.946700,0.010000
0,32000,0.223194,0.939300,0.010000
0,33000,0.185403,0.949300,0.010000
0,34000,0.165313,0.951100,0.010000
0,35000,0.204955,0.946100,0.010000
0,36000,0.161983,0.960800,0.010000
0,37000,0.134404,0.955000,0.010000
0,38000,0.202481,0.951800,0.010000
0,39000,0.132984,0.958400,0.010000
0,40000,0.195616,0.954900,0.010000
0,41000,0.145860,0.950800,0.010000
0,42000,0.176765,0.955200,0.010000
0,43000,0.181282,0.951500,0.010000
0,44000,0.122145,0.954600,0.010000
0,45000,0.127814,0.954000,0.010000
0,46000,0.197659,0.948400,0.010000
0,47000,0.157063,0.957600,0.010000
0,48000,0.197350,0.942300,0.010000
0,49000,0.167369,0.956500,0.010000
0,50000,0.197467,0.935100,0.010000
0,51000,0.164168,0.958400,0.010000
0,52000,0.121532,0.953200,0.010000
0,53000,0.177988,0.945000,0.010000
0,54000,0.152998,0.957100,0.010000
0,55000,0.108875,0.958300,0.010000
0,56000,0.112640,0.958900,0.010000
0,57000,0.105968,0.960800,0.010000
0,58000,0.099779,0.961300,0.010000
0,59000,0.062356,0.951100,0.010000
0,60000,0.130158,0.947000,0.010000
1,61000,0.154123,0.962800,0.010000
1,62000,0.142438,0.963900,0.010000
1,63000,0.096443,0.960200,0.010000
1,64000,0.102676,0.955800,0.010000
1,65000,0.101532,0.964300,0.010000
1,66000,0.138315,0.940000,0.010000
1,67000,0.126080,0.957000,0.010000
1,68000,0.140123,0.957300,0.010000
1,69000,0.155704,0.938500,0.010000
1,70000,0.100238,0.956600,0.010000
1,71000,0.113706,0.958800,0.010000
1,72000,0.091101,0.958800,0.010000
1,73000,0.114847,0.955200,0.010000
1,74000,0.129939,0.966100,0.010000
1,75000,0.119001,0.963900,0.010000
1,76000,0.125568,0.963100,0.010000
1,77000,0.101930,0.959000,0.010000
1,78000,0.161347,0.960000,0.010000
1,79000,0.082185,0.965300,0.010000
1,80000,0.098433,0.959700,0.010000
1,81000,0.138912,0.961300,0.010000
1,82000,0.084528,0.959000,0.010000
1,83000,0.121743,0.960900,0.010000
1,84000,0.120380,0.969900,0.010000
1,85000,0.089138,0.960300,0.010000
1,86000,0.078252,0.959600,0.010000
1,87000,0.129576,0.959600,0.010000
1,88000,0.121576,0.960100,0.010000
1,89000,0.110075,0.954700,0.010000
1,90000,0.111171,0.959500,0.010000
1,91000,0.089703,0.961700,0.010000
1,92000,0.119542,0.957100,0.010000
1,93000,0.098391,0.954000,0.010000
1,94000,0.079638,0.963000,0.010000
1,95000,0.117357,0.962200,0.010000
1,96000,0.098113,0.967900,0.010000
1,97000,0.079110,0.967300,0.010000
1,98000,0.126739,0.958200,0.010000
1,99000,0.089565,0.962300,0.010000
1,100000,0.115103,0.966500,0.010000
1,101000,0.087564,0.965600,0.010000
1,102000,0.102227,0.968500,0.010000
1,103000,0.121198,0.953700,0.010000
1,104000,0.092181,0.967600,0.010000
1,105000,0.077437,0.972400,0.010000
1,106000,0.121260,0.966600,0.010000
1,107000,0.105021,0.965900,0.010000
1,108000,0.108469,0.970000,0.010000
1,109000,0.067521,0.968000,0.010000
1,110000,0.135990,0.962200,0.010000
1,111000,0.097673,0.965600,0.010000
1,112000,0.080177,0.972800,0.010000
1,113000,0.110691,0.966000,0.010000
1,114000,0.094239,0.962900,0.010000
1,115000,0.053924,0.972100,0.010000
1,116000,0.071168,0.971900,0.010000
1,117000,0.073605,0.963500,0.010000
1,118000,0.072647,0.965700,0.010000
1,119000,0.034753,0.961100,0.010000
1,120000,0.098428,0.962000,0.010000
